"구분별(1)",구분별(2),구분별(3),1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"세대",소계,소계,1182655,1215538,1273678,1409577,1461009,1529323,1609121,1713193,1849324,1915104,2000678,2116334,2245598,2337564,2428173,2518128,2658371,2816510,2820292,3330317,3383169,3430528,3455665,3448124,3456575,3498506,3458511,3490616,3540492,3570228,3623929,3714697,3780305,3871024,3978938,4046086,4097562,4116660,4224181,4192752,4177970,4182351,4194176,4189948,4189839,4220082,4263868,4327605,4417954,4426007
"인구",소계,소계,6076143,6289556,6541500,6889502,7254958,7525629,7823195,8114021,8364379,8676037,8916481,9204344,9501413,9639110,9798542,9991089,10286503,10576794,10612577,10904527,10969862,10925464,10798700,10595943,10469852,10389057,10321496,10321449,10373234,10331244,10280523,10276968,10287847,10297004,10356202,10421782,10456034,10464051,10575447,10528774,10442426,10388055,10369593,10297138,10204057,10124579,10049607,10010983,9911088,9736027
"인구",남자,소계,3020029,3095992,3220575,3432182,3580754,3725972,3894433,4038173,4168875,4288804,4412300,4607351,4759713,4795086,4905220,5006777,5161685,5310907,5326341,5485353,5519096,5496638,5429554,5326022,5258247,5214266,5173556,5170662,5198186,5175786,5144833,5133694,5128752,5123738,5145481,5174655,5184732,5181359,5236742,5208492,5159665,5126351,5109013,5063550,5007379,4957857,4910849,4877725,4816522,4721977
"인구",여자,소계,3056114,3193564,3320925,3457320,3674204,3799657,3928762,4075848,4195504,4387233,4504181,4596993,4741700,4844024,4893322,4984312,5124818,5265887,5286236,5419174,5450766,5428826,5369146,5269921,5211605,5174791,5147940,5150787,5175048,5155458,5135690,5143274,5159095,5173266,5210721,5247127,5271302,5282692,5338705,5320282,5282761,5261704,5260580,5233588,5196678,5166722,5138758,5133258,5094566,5014050
"인구",한국인,소계,-,-,-,6879464,-,-,-,-,8350616,8666695,8907568,9195207,9491503,9625755,9786536,9979577,10276308,10566447,10603250,10873055,10935230,10889499,10759454,10550871,10418076,10336134,10270506,10264260,10311314,10263336,10207295,10174086,10173162,10167344,10181166,10192710,10200827,10208302,10312545,10249679,10195318,10143645,10103233,10022181,9930616,9857426,9765623,9729107,9668465,9509458
"인구",한국인,남자,-,-,-,3425991,-,-,-,-,4160059,-,-,-,-,4787720,4898547,5000452,5156205,5305294,5321357,5467737,5500001,5477845,5408827,5302277,5231039,5186530,5146825,5141141,5166605,5141741,5108964,5084908,5074686,5062492,5062107,5063188,5061809,5059269,5111259,5073899,5041336,5007869,4979768,4930943,4876789,4830206,4773899,4744059,4701723,4618040
"인구",한국인,여자,-,-,-,3453473,-,-,-,-,4190557,-,-,-,-,4838035,4887989,4979125,5120103,5261153,5281893,5405318,5435229,5411654,5350627,5248594,5187037,5149604,5123681,5123119,5144709,5121595,5098331,5089178,5098476,5104852,5119059,5129522,5139018,5149033,5201286,5175780,5153982,5135776,5123465,5091238,5053827,5027220,4991724,4985048,4966742,4891418
"인구",외국인,소계,-,-,-,10038,-,-,-,-,13763,9342,8913,9137,9910,13355,12006,11512,10195,10347,9327,31472,34632,35965,39246,45072,51776,52923,50990,57189,61920,67908,73228,102882,114685,129660,175036,229072,255207,255749,262902,279095,247108,244410,266360,274957,273441,267153,283984,281876,242623,226569
"인구",외국인,남자,-,-,-,6191,-,-,-,-,8816,-,-,-,-,7366,6673,6325,5480,5613,4984,17616,19095,18793,20727,23745,27208,27736,26731,29521,31581,34045,35869,48786,54066,61246,83374,111467,122923,122090,125483,134593,118329,118482,129245,132607,130590,127651,136950,133666,114799,103937
"인구",외국인,여자,-,-,-,3847,-,-,-,-,4947,-,-,-,-,5989,5333,5187,4715,4734,4343,13856,15537,17172,18519,21327,24568,25187,24259,27668,30339,33863,37359,54096,60619,68414,91662,117605,132284,133659,137419,144502,128779,125928,137115,142350,142851,139502,147034,148210,127824,122632
"인구밀도 및 면적",인구밀도(명/㎢),소계,9911.50,10030.23,10432.02,10986.99,11933.09,12312.07,12885.11,13361.25,13774.00,14334.00,14730.00,15206.00,15695.00,15921.00,16185.00,16503.00,16990.00,17470.00,17532.00,18014.00,18121.00,18047.00,17836.00,17491.00,17289.00,17157.00,17046.00,17046.00,17132.00,17062.00,16978.00,16975.00,16993.72,17008.69,17108.46,17219.00,17274.99,17288.70,17472.85,17396.96,17255.15,17164.55,17133.88,17013.01,16861.00,16728.13,16604.36,16540.60,16375.78,16086.00
"인구밀도 및 면적",면적,소계,613,627,627,627,608,611,607,607,607,605,605,605,605,605,605,605,605,605,605,605,605,605,605,606,606,606,606,606,606,606,606,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605
"세대당인구",소계,소계,5.14,5.17,5.14,4.89,4.97,4.92,4.86,4.74,4.52,4.53,4.46,4.35,4.23,4.12,4.04,3.97,3.87,3.76,3.76,3.27,3.24,3.18,3.12,3.07,3.03,2.97,2.98,2.96,2.93,2.89,2.84,2.77,2.72,2.66,2.60,2.58,2.49,2.48,2.44,2.44,2.44,2.43,2.41,2.39,2.37,2.34,2.29,2.25,2.19,2.15
"65세이상고령자",소계,소계,-,-,151289,144977,-,-,-,-,207953,246469,260128,260200,275165,211283,304923,329370,348543,362507,362653,424332,434348,445236,454007,460144,469079,485347,505438,530190,560446,585897,612783,649755,693225,735902,786580,852235,898700,942946,1007572,1049425,1110995,1167177,1221616,1267563,1300877,1365126,1416131,1485272,1568331,16054